"ResponseId","Nutritionist.y.n","job.function","decision_1","decision_2","decision_3","X3NOP.familiarity","X3NOP.effective","X3NOP.sell","X3NOP.use","seaweed.familiarity","seaweed.effective","seaweed.sell","seaweed.use","EO.familiarity","EO.effective","EO.sell","EO.use","tannins.familiarity","tannins.effective","tannins.sell","tannins.use","bw.1_1","bw.1_2","bw.1_3","bw.2_1","bw.2_2","bw.2_3","bw.3_1","bw.3_2","bw.3_3","bw.4_1","bw.4_2","bw.4_3","bw.5_1","bw.5_2","bw.5_3","bw.6_1","bw.6_2","bw.6_3","bw.7_1","bw.7_2","bw.7_3","concern_1","concern_2","concern_3","concern_4","concern_5","concern_6","concern_7","concern_8","concern_9","CV1","CV1info","CV2yes","CV2no","CV2infoyes","CV2infono","age","gender","education","region","number.of.cows","attitude.climate","attitude.methane","attitude.climate.mm","BidAmount","FollowUpBidYes","FollowUpBidNo"
11,"1","4","0","0","100","8","11","13","9","9","10","9","9","9","10","","","10","10","9","9","2","1","","2","","1","1","","2","","2","1","1","2","","","1","2","1","2","","1,2,3,4","1,2,3,4","1,2,3,4","1,2,3,4","1,2,3,4","1,2,3,4","","","","","2","","","","2","3","2","2","1","5,000","2","5","1","0.2","","0.16"
12,"1","4","0","0","100","8","8","13","9","8","9","9","9","8","10","8","21","9","10","9","9","2","","1","2","","1","1","2","","","2","1","2","1","","","1","2","","1","2","1,2","1,2,4","2","2,4","2,3,4","2","2","","1","","2","","","","2","4","1","3","3","400,000","4","5","1","0.25","","0.2"
13,"1","1,2,3,5,6,4","70","0","30","9","9","13","9","9","11","9","9","9","11","9","21","9","11","9","9","2","","1","","2","1","","","","","2","","2","","1","","","","1","","2","","","","","","","","","","","","","","","","","","","","","","","","0.15","",""
14,"1","1,2,3,5,6,4","40","40","20","8","9","13","9","8","10","9","9","8","8","8","20","9","10","9","9","2","1","","","2","1","1","2","","1","2","","","2","1","","1","2","2","","1","1","1,2","","1,4","","","","","1","","1","","","2","","2","2","3","","60,000","1","3","2","0.6","0.72",""
15,"1","4","0","0","100","9","9","13","9","9","9","9","9","9","9","9","21","9","9","9","9","1","","2","2","","1","1","","2","1","","2","2","","1","2","1","","2","","1","","","","","","","","","1","","","","","","","3","1","3","","20000","2","3","2","0.5","",""
16,"1","4","20","40","40","10","10","13","9","9","9","9","9","9","9","9","21","11","10","9","9","","1","2","2","","1","1","2","","2","1","","1","","2","2","1","","","1","2","","1,2,3,4","","","","","","","1,2,3,4","","2","","","","2","1","1","2","1","3000","2","1","2","0.5","","0.4"
17,"1","1,2,3,5,6,4","0","0","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
18,"1","1","0","90","10","8","8","13","8","8","8","9","8","9","9","9","20","8","9","9","8","1","","2","1","","2","2","1","","2","","1","2","1","","","2","1","2","","1","1,2,3,4","1,2,3,4","1,2,4","2,4","2","4","1,2,4","1,2,4","1,2,4","","1","","","1","","2","1","3","1","","1","2","1","0.65","0.78",""
19,"1","1,2","0","0","100","10","9","13","9","10","9","9","9","10","10","9","21","9","9","8","8","","1","2","2","","1","1","2","","2","","1","","1","2","2","1","","","1","2","1","1,4","4","4","4","","1","1","1","2","","","","","","5","1","3","","6000","3","5","4","0.3","","0.24"
20,"1","4","0","0","100","9","9","13","9","9","9","9","9","9","10","9","21","9","10","9","9","1","","2","1","","2","1","","2","1","","2","1","","2","1","","2","","","","1","1","1","1","1","1","1","1","1","1","","1","","","","","","","","","","","","0.05","0.06",""
21,"1","4","30","70","0","9","11","13","9","9","9","9","9","9","10","9","21","10","10","9","9","2","","1","1","2","","1","2","","","2","1","","1","2","1","2","","","1","2","1","1","1","1","1","1","1","1","1","","2","","","","2","2","1","3","1,3,5","15000","3","4","3","0.65","","0.52"
22,"1","1,2,3,5,6,4","0","75","25","8","11","13","9","9","10","9","9","9","10","8","21","11","10","9","9","2","","1","2","1","","1","2","","","2","1","2","","1","1","","2","","1","2","1,2,4","1,2,3,4","","","2,4","2,4","","","","2","","","2","","","3","1","3","1","15000","4","5","3","0.65","","0.52"
23,"1","1,2,3,5,6,4","20","80","0","9","10","13","9","9","10","9","9","9","11","9","21","10","10","9","9","2","","1","","1","","1","","","","2","1","","","1","","1","2","1","","","","1,2,3,4","1,2,3,4","","1,2,3,4","1,2,3,4","","","","","2","","","","2","5","1","3","1,3","12000","4","4","2","0.65","","0.52"
24,"1","1,2,3,5,6,4","10","90","0","10","10","13","9","10","10","9","9","9","9","8","20","10","10","9","9","2","1","","2","","1","1","2","","","2","1","2","1","","","1","2","","1","2","","1,2,3,4","","","","","","","","2","","","2","","","6","1","3","1","10000","4","5","5","0.35","","0.28"
25,"1","4","20","20","60","8","9","13","8","8","12","9","9","8","12","9","21","8","11","9","9","2","","1","2","","1","1","","2","","2","1","","1","2","","1","2","1","2","","1,2,3,4","1,2,3,4","2","2","2","2","1,2","2","1,2","2","","","2","","","3","1","3","1,5","25000","2","5","2","0.55","","0.44"
26,"1","4","0","0","100","9","10","13","9","9","10","9","9","9","10","9","21","9","10","9","9","2","1","","1","2","","1","2","","","2","1","","1","2","","1","2","2","1","","1,2,3,4","1,2,3,4","1,2,3,4","1,2,3,4","1,2,3,4","1,2,3,4","","","","2","","","2","","","5","1","3","3,5","10000","3","3","3","0.05","","0.04"
27,"1","4","5","95","0","9","10","13","9","9","11","9","9","9","11","9","21","9","10","9","9","2","","1","2","","1","1","2","","1","2","","","2","1","1","","2","","1","2","1,2,3,4","1,2,3,4","1,2,3,4","","1","1","","","","2","","","2","","","3","1","3","1","25000","1","2","1","0.45","","0.36"
28,"1","1,2,5,6","30","70","0","9","9","13","9","9","9","9","9","9","10","9","21","9","9","9","9","2","1","","","2","1","1","","2","","2","1","2","1","","","1","2","2","","1","1,2,3,4","1,2,3,4","4","4","4","4","4","4","2","2","","","2","","","5","1","3","8","50000","5","3","2","0.3","","0.24"
29,"1","4","0","0","100","9","10","13","8","9","10","9","9","10","10","9","21","11","10","9","9","","1","2","","2","1","1","2","","","2","1","1","","2","","1","2","","1","2","","1,2,3,4","1,2,3,4","","1,2,3,4","","1,2,3,4","","","","1","","","1","","5","1","2","3","14000","3","5","5","0.15","0.18",""
30,"1","1,2,3,5,6,4","0","0","100","9","11","13","9","9","10","9","9","9","9","9","21","9","10","9","9","2","","1","2","","1","1","","2","1","2","","","2","1","","1","2","","1","2","1,2,3,4","1,2,3,4","1,2,3,4","1,2,3,4","1,2,3,4","1,2,3,4","1,2,3,4","1,2,3,4","","","2","","","","2","5","1","2","5","12,000","3","2","3","0.55","","0.44"
31,"1","4","20","80","0","8","9","13","8","10","10","9","9","9","10","9","21","9","10","9","9","2","1","","2","","1","1","2","","","2","1","","2","1","","1","2","","1","2","","1,2,3,4","","","","","","","","","1","","","1","","4","1","3","8","85000","3","4","2","0.05","0.06",""
32,"1","1,2,3,5,6","30","50","20","9","9","13","9","12","10","9","9","8","9","9","20","9","10","9","9","2","","1","1","","2","","2","1","","2","1","2","","1","","1","2","2","1","","1,2","1,2,3,4","","2,4","","","","","","","2","","","","2","5","1","2","3","8000","5","5","5","0.35","","0.28"
33,"1","4","0","80","20","12","10","13","9","9","10","9","9","8","9","8","21","9","10","9","9","2","","1","2","","1","1","2","","","2","1","","2","1","","1","2","","1","2","","1,2,3,4","1,2,3,4","","1,2,3,4","1,2,3,4","1,2,3,4","","","2","","","2","","","4","1","1","1,5","20000","2","3","1","0.45","","0.36"
34,"1","1,2,3,5,6,4","25","25","50","9","9","13","9","9","9","9","9","10","10","9","21","11","10","9","9","","1","","","","","","","","1","","","","","","2","1","","1","","","1,2,3,4","1,2,3,4","1,2,3,4","1,2,3,4","1,2,3,4","1,2,3,4","1,2,3,4","1,2,3,4","1,2,3,4","","2","","","","2","3","2","3","1","2000","1","2","2","0.25","","0.2"
35,"1","1,2,3,5,6,4","50","50","0","8","8","13","9","8","8","9","9","10","10","9","21","8","8","9","9","2","1","","2","","1","2","1","","","2","1","1","","2","","1","2","2","1","","1,2,3,4","1,2,3,4","1,2,3,4","1,2,3,4","1,2,3,4","1,2,3,4","1,2,3,4","1,2,3,4","","","2","","","","2","4","1","3","8","30000","1","5","1","0.6","","0.48"
36,"1","1,2,3,5,6,4","15","35","50","9","10","13","9","10","10","9","9","9","10","9","21","11","10","9","9","2","1","","","2","1","1","","2","","2","1","2","","1","","1","2","","1","2","1,2,3,4","1,2,3,4","1,2,3,4","1,2,3,4","1,2,3,4","1,2,3,4","1,2,3,4","1,2,3,4","","2","","","2","","","2","2","3","1","10000","1","4","1","0.55","","0.44"
37,"1","1,2,3,5,6,4","0","0","100","8","9","13","9","8","11","9","9","9","9","9","21","9","10","9","9","2","","1","2","1","","2","","1","1","2","","1","2","","1","","2","","1","2","1,2,3,4","1,2,3,4","","","","1,4","1,4","","1,2,3,4","","2","","","","2","5","1","3","1","10,000","1","4","1","0.6","","0.48"
38,"1","4","0","0","100","11","10","13","9","9","10","9","9","10","10","9","21","11","10","9","9","2","","1","","2","1","1","2","","2","","1","","1","2","2","1","","","1","2","1,2,3,4","1,2,3,4","","","","","","","","","2","","","","2","2","1","2","1","","3","3","3","0.6","","0.48"
39,"1","1,2,3,5,6,4","0","0","100","8","9","13","8","9","10","9","9","8","10","9","21","12","10","9","9","1","","","","1","","1","","","","1","","","","1","","1","","","1","","1","1","1","1","1","1","1","1","1","2","","","2","","","3","1","3","8","60,000","5","5","3","0.45","","0.36"
40,"1","1,2,3,5,6,4","0","20","80","8","9","13","9","9","10","9","9","8","10","9","21","11","10","9","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
41,"1","4","10","70","20","11","10","13","9","10","10","9","9","9","10","9","20","10","10","9","9","2","1","","","2","1","2","","1","","2","1","1","2","","","1","2","2","","1","","","","","","","","","","","","","","","","","","","","","","","","0.05","",""
42,"1","1,2,3,5,6,4","10","65","25","12","10","13","9","10","10","9","9","10","10","9","21","10","10","9","9","2","","1","2","","1","1","2","","","2","1","","2","1","","1","2","1","","2","","","","","","","","","","2","","","2","","","2","2","2","1","","1","3","2","0.3","","0.24"
43,"1","4","0","0","100","9","10","13","9","9","9","9","9","9","11","9","21","9","10","9","9","2","1","","2","","1","2","","1","1","2","","1","2","","","1","2","","2","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
44,"1","1,2,3,5,6,4","25","25","50","8","9","8","9","9","9","9","9","8","10","8","21","10","10","9","9","2","1","","","2","1","1","2","","","2","1","","1","2","","1","2","2","1","","1,2,3,4","1,2,3,4","","2,3,4","1,2,3,4","1,2,3,4","","","1","","2","","","","2","3","2","3","3","","2","4","2","0.6","","0.48"
45,"1","4","10","10","80","9","8","13","9","9","9","9","9","9","9","9","21","9","10","9","9","2","","1","2","","1","1","2","","","2","1","","2","1","1","","2","2","1","","","1,2,3,4","1,2,3,4","1,2,3,4","1,2,3,4","","","","","","2","","","","2","5","1","3","3","","3","4","1","0.15","","0.12"
46,"1","1,2","80","10","10","8","9","13","9","8","11","9","9","8","8","8","20","9","10","9","9","2","1","","2","","1","","2","1","","2","1","1","","2","","1","2","1","2","","1","1,2","1,2,4","1,2,4","2,3","4","1,2","","1,2","2","","","2","","","2","1","3","1,3,5,8","50000","2","3","1","0.45","","0.36"
47,"1","4","10","90","0","12","10","13","9","12","10","9","9","12","10","9","21","12","10","9","9","2","","1","","2","1","","1","2","1","2","","","2","1","","1","2","","2","1","1,2,3,4","1,2,3,4","","2,4","1,2,3,4","1,2,3,4","2,3,4","","1,2,3,4","","2","","","","2","2","1","3","1","1700","1","3","1","0.35","","0.28"
48,"1","1,2,5,6","100","0","0","8","10","13","9","11","12","9","9","8","8","8","20","9","9","9","9","2","","1","2","","1","1","","2","","2","1","2","1","","","1","2","","1","2","1","3","2,3,4","2,3","3","3","3","3","1,3","","2","","","","2","5","1","3","1","1000","3","4","4","0.65","","0.52"
49,"1","4","0","0","100","9","10","13","9","9","9","9","9","9","10","9","21","8","10","9","9","2","1","","","2","1","1","2","","","2","1","","1","2","","1","2","2","1","","1,2","","1","2","1","1,2","","","1","2","","","2","","","4","1","3","8","120,000","2","2","2","0.55","","0.44"
50,"1","1,2,3,5,6,4","30","70","0","9","11","13","9","9","10","9","9","9","11","9","21","11","10","9","9","2","","1","2","","1","1","2","","2","","1","2","1","","","1","2","1","","2","1,2,3,4","1,2,3,4","1,2,3,4","1,2,3,4","1,2,3,4","1,2,3,4","1,2,3,4","1,2,3,4","","2","","","2","","","1","1","2","3","12000","3","3","1","0.6","","0.48"
51,"1","1,2,3,5,6,4","50","0","50","9","10","8","9","9","11","9","9","8","10","9","21","11","10","9","9","","1","","","","1","1","","","","","1","","1","","","1","","","1","","1,2,3,4","1,2,3,4","","","","","","","","2","","","2","","","2","2","2","3","5000","2","4","1","0.35","","0.28"
52,"1","4","0","0","100","9","10","13","9","9","10","9","9","9","10","9","21","9","10","9","9","2","","1","","2","1","1","2","","","2","1","","1","2","","1","2","","1","2","1,2,3,4","1,2,3","1,2,3,4","1,2,3,4","1,2,3,4","1,2,3,4","1,2,3,4","1,2,3,4","1,2,3,4","","2","","","","2","3","1","2","8","20,000","4","5","3","0.55","","0.44"
53,"1","4","25","75","0","11","10","13","9","10","10","9","9","10","10","9","21","12","10","9","9","","2","1","2","","1","1","2","","2","","1","2","1","","2","1","","1","","2","","1,2,3,4","","1,2,3,4","1,2,3,4","1,2,3,4","1,2,3,4","1,2,3,4","1,2,3,4","2","","","2","","","1","1","3","1","7000","2","4","2","0.65","","0.52"
54,"1","4","2","90","8","9","9","13","9","10","10","9","9","9","9","9","21","10","10","9","9","2","","1","1","2","","1","2","","","2","1","","2","1","","1","2","","1","2","1,2,3,4","1,2,3,4","1,2,3,4","1,4","1,2,4","1,3,4","","4","","2","","","2","","","2","2","2","1","20000","1","3","2","0.1","","0.08"
55,"1","4","0","0","100","8","9","13","8","9","10","9","9","9","9","9","21","11","10","9","9","","2","1","2","","1","1","","2","2","","1","2","1","","","1","2","1","2","","1,2,3,4","1,2,3,4","","","","","1","","1","","1","","","1","","4","1","2","8","75000","4","4","3","0.35","0.42",""
56,"1","1,2,3,5,6,4","0","90","10","8","8","13","8","8","9","9","9","9","9","9","21","11","10","9","9","2","","1","","2","1","1","2","","2","","1","2","1","","","1","2","","1","2","","","","","","","","","","2","","","2","","","1","2","3","3","10000","2","3","2","0.6","","0.48"
57,"1","1,2,3,5,6,4","50","50","0","9","10","13","9","9","8","9","9","9","10","9","21","9","10","9","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
58,"1","1,2,3,6,4","80","20","0","8","9","8","8","8","11","9","9","9","12","9","21","9","11","9","9","","2","1","","2","1","1","2","","2","","1","2","","1","","1","2","1","","2","","2,3,4","2","2","2","","2","","2","1","","1","","","","2","3","3","8","150000","4","4","4","0.4","0.48",""
59,"1","1,2,5,6","20","20","60","9","8","13","9","9","10","9","9","10","10","9","21","9","10","9","9","2","","1","","2","1","1","2","","","2","1","2","1","","","1","2","1","2","","1,2,3,4","1,2,3,4","","","1,2,3,4","1,2,3,4","1,2,3,4","","","2","","","2","","","4","1","3","3","","3","4","5","0.65","","0.52"
60,"1","1,2,3,5,6,4","40","60","0","8","8","13","8","8","9","9","9","9","10","9","21","11","10","9","9","2","","1","2","","1","1","","2","","2","1","2","1","","","1","2","1","","2","","","","","","","","","","2","","","2","","","2","2","3","3","9000","1","2","2","0.55","","0.44"
61,"1","4","34","33","33","9","10","13","9","9","10","9","9","9","10","9","21","9","10","9","9","2","","1","2","","1","1","2","","","2","1","","2","1","","1","2","","1","2","","","","","","","","","","","","","","","","","","","","","","","","","",""
62,"1","1,2,5,6","20","80","0","8","8","13","9","8","8","9","9","8","9","9","21","8","8","9","9","2","1","","2","","1","1","","2","1","2","","1","","2","2","1","","","2","1","1,2,3","1,2,3,4","1,2,3,4","2,4","2,4","2,4","2","2","1,2","","2","","","","2","2","2","3","1,3","10000","1","4","1","0.6","","0.48"
63,"1","4","15","15","70","8","9","8","8","8","9","9","9","9","10","9","21","9","10","9","9","2","","1","2","","1","1","2","","","2","1","","2","1","","1","2","1","","2","","1,2,3,4","1,2,3,4","1,2,3,4","","1,2,3,4","","","","2","","","2","","","1","1","3","8","15000","2","4","4","0.2","","0.16"
64,"1","1,2,3,5,6,4","40","30","30","9","11","13","9","9","10","9","9","10","11","9","21","10","10","9","9","2","","1","","2","1","1","2","","","2","1","","1","2","","1","2","","1","2","1,2,3,4","1,2,3,4","1,2,3,4","2,3,4","1,2,3,4","1,2,3,4","1,2,3,4","1,2,3,4","1,2,3,4","2","","","2","","","3","2","2","1,3,5,8","100000","1","2","3","0.4","","0.32"
65,"1","4","0","0","100","9","9","13","9","10","10","9","9","9","9","8","20","11","10","9","9","2","1","","","2","1","1","2","","1","2","","","2","1","","1","2","","1","2","","1,2,3,4","1,2,3,4","1,2,3,4","1,2,3,4","1,2,3,4","","","","","2","","","","2","5","1","2","1,3,5,8","","3","3","3","0.6","","0.48"
66,"1","4","0","0","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","0.05","",""
67,"1","1,2,3,5,6,4","50","50","0","9","9","13","9","9","11","9","9","9","9","8","21","9","10","9","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
68,"1","1,2,3,5,6,4","0","50","50","11","10","13","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
69,"1","4","25","75","0","9","10","13","9","9","9","9","9","9","10","9","21","9","10","9","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
